-----------
Timer report 0 (3088 timers)
--------------
[0] root 27.66070 100.0% 1 31748937424 1147.8 MFlops 
   [1] EBINS::run 24.21186 87.5% 1 31747657424 1311.2 MFlops 
      [2] EBINS::advanceVelocityAndPressure 23.28046 84.2% 10 31092073960 1335.5 MFlops 
         [3] EBINS::advanceVelocityNavierStokes 12.04724 43.6% 10 21585610320 1791.7 MFlops 
            [4] EBMultigrid::solve 12.04129 43.5% 30 21580695120 1792.2 MFlops 
               [5] sgmg::vcycle 11.18302 40.4% 90 20185756560 1805.0 MFlops 
                  [6] sgmglevel::vcycle 11.18299 40.4% 90 20185756560 1805.0 MFlops 
                     [7] EBPoissonOp::relax 8.42327 30.5% 180 16693182720 1981.8 MFlops 
                                       [578] BoxData::makevars 0.01391  0.1% 1440 0    0.0 MFlops 
                                          [579] indexer 0.01382  0.0% 1440 0    0.0 MFlops 
                           [151] BoxData::setVal 0.17565  0.6% 1440 19906560  113.3 MFlops 
                              [152] BoxData::operator 0.17552  0.6% 1440 19906560  113.4 MFlops 
                                 [1864] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.00008  0.0% 1440 0    0.0 MFlops 
                           [309] ebforall_i 0.05713  0.2% 1440 0    0.0 MFlops 
                              [310] protoForall_i 0.05700  0.2% 1440 0    0.0 MFlops 
                                 [311] BoxData::makevars_i 0.05684  0.2% 1440 0    0.0 MFlops 
                                    [312] indexer_i 0.05669  0.2% 1440 0    0.0 MFlops 
                        [81] sgmglevel::vcycle 0.47054  1.7% 90 249738480  530.7 MFlops 
                           [132] sgmglevel::vcycle 0.22295  0.8% 90 37009440  166.0 MFlops 
                              [185] sgmglevel::vcycle 0.14431  0.5% 90 14916240  103.4 MFlops 
                                 [207] EBRelaxSolver::solve 0.11012  0.4% 90 11621520  105.5 MFlops 
                                    [211] EBMultigrid::preCond 0.10521  0.4% 90 11119680  105.7 MFlops 
                                       [212] EBPoissonOp::relax 0.10521  0.4% 90 11119680  105.7 MFlops 
                                          [308] EBPoissonOp::residual 0.05761  0.2% 4860 6259680  108.7 MFlops 
                                             [380] BoxData::setVal 0.04329  0.2% 4860 4860000  112.3 MFlops 
                                                [382] BoxData::operator 0.04300  0.2% 4860 4860000  113.0 MFlops 
                                                   [1684] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.00017  0.0% 4860 0    0.0 MFlops 
                                             [657] EBMultigrid::applyOp 0.01100  0.0% 4860 1399680  127.2 MFlops 
                                                [828] EBLevelBoxData::exchange 0.00490  0.0% 4860 0    0.0 MFlops 
                                                   [829] EBLevelBoxData::exchangeCPUOnly 0.00460  0.0% 4860 0    0.0 MFlops 
                                                      [1081] DistributedData::exchange 0.00202  0.0% 4860 0    0.0 MFlops 
                                                         [1349] DistributedData::communicate 0.00072  0.0% 4860 0    0.0 MFlops 
                                                         [1481] BoxPattern::exchange constructor 0.00046  0.0% 4860 0    0.0 MFlops 
                                                         [1750] CommunicationMetaData constructor 0.00013  0.0% 4860 0    0.0 MFlops 
