-----------
Timer report 0 (3408 timers)
--------------
[0] root 7.12166 100.0% 1 18536020952 2602.8 MFlops 
   [1] EBINS::define 4.22517 59.3% 1 128000    0.0 MFlops 
      [4] EBPoissonOp::define 2.24569 31.5% 2 0    0.0 MFlops 
         [5] get2ndOrderDivFStencil 1.78254 25.0% 131072 0    0.0 MFlops 
                                          [3360] EBGraph::getIrregCells 0.00000  0.0% 2 0    0.0 MFlops 
                                    [2882] DistributedData::exchange 0.00000  0.0% 2 0    0.0 MFlops 
                                       [3081] BoxPattern::exchange constructor 0.00000  0.0% 2 0    0.0 MFlops 
                                       [3180] DistributedData::communicate 0.00000  0.0% 2 0    0.0 MFlops 
                                          [3262] DistributedData::doLocalCopies 0.00000  0.0% 2 0    0.0 MFlops 
                                             [3355] DistributedData::doLocalCopiesWithCopy 0.00000  0.0% 2 0    0.0 MFlops 
                                       [3361] CommunicationMetaData constructor 0.00000  0.0% 2 0    0.0 MFlops 
                              [2553] ebforall 0.00001  0.0% 2 0    0.0 MFlops 
                                 [2566] forallInPlaceBase 0.00001  0.0% 2 0    0.0 MFlops 
                                    [2571] protoForall 0.00001  0.0% 2 0    0.0 MFlops 
                                       [2576] BoxData::makevars 0.00001  0.0% 2 0    0.0 MFlops 
                                          [2587] indexer 0.00001  0.0% 2 0    0.0 MFlops 
                              [2681] HostBoxData::define(Box) (memory allocation) 0.00001  0.0% 2 0    0.0 MFlops 
                              [3173] EBGraph::getIrregVoFs 0.00000  0.0% 2 0    0.0 MFlops 
                                 [3359] EBGraph::getIrregCells 0.00000  0.0% 2 0    0.0 MFlops 
                           [2072] HostBoxData::setval 0.00005  0.0% 2 0    0.0 MFlops 
                           [2327] DistributedData constructor 0.00002  0.0% 6 0    0.0 MFlops 
                              [3109] EBGraph::getIrregVoFs 0.00000  0.0% 6 0    0.0 MFlops 
                                 [3291] EBGraph::getIrregCells 0.00000  0.0% 6 0    0.0 MFlops 
                           [3124] EBGraph::getIrregVoFs 0.00000  0.0% 4 0    0.0 MFlops 
                              [3335] EBGraph::getIrregCells 0.00000  0.0% 4 0    0.0 MFlops 
                           [3172] HostBoxData::define(Box) (memory allocation) 0.00000  0.0% 2 0    0.0 MFlops 
                        [2579] DistributedData constructor 0.00001  0.0% 4 0    0.0 MFlops 
                           [3167] EBGraph::getIrregVoFs 0.00000  0.0% 4 0    0.0 MFlops 
                              [3329] EBGraph::getIrregCells 0.00000  0.0% 4 0    0.0 MFlops 
                     [405] AggSten.constructor 0.00478  0.1% 20 0    0.0 MFlops 
                        [2745] EBGraph::getIrregVoFs 0.00001  0.0% 40 0    0.0 MFlops 
                           [3028] EBGraph::getIrregCells 0.00000  0.0% 40 0    0.0 MFlops 
                     [1757] HostBoxData::setval 0.00012  0.0% 2 0    0.0 MFlops 
                     [1805] EBPoissonOp::fillkappa 0.00010  0.0% 2 0    0.0 MFlops 
                        [2023] EBLevelBoxData::exchange 0.00006  0.0% 2 0    0.0 MFlops 
                           [2026] EBLevelBoxData::exchangeWithGPU 0.00006  0.0% 2 0    0.0 MFlops 
                              [2137] EBLevelBoxData::copyToHost 0.00004  0.0% 2 0    0.0 MFlops 
                              [2533] EBLevelBoxData::copyToDevice 0.00001  0.0% 2 0    0.0 MFlops 
                              [2829] DistributedData constructor 0.00000  0.0% 2 0    0.0 MFlops 
                                 [3187] HostBoxData::define(Box) (memory allocation) 0.00000  0.0% 2 0    0.0 MFlops 
                                 [3190] EBGraph::getIrregVoFs 0.00000  0.0% 2 0    0.0 MFlops 
                                    [3374] EBGraph::getIrregCells 0.00000  0.0% 2 0    0.0 MFlops 
                              [2875] DistributedData::exchange 0.00000  0.0% 2 0    0.0 MFlops 
                                 [3070] BoxPattern::exchange constructor 0.00000  0.0% 2 0    0.0 MFlops 
                                 [3121] DistributedData::communicate 0.00000  0.0% 2 0    0.0 MFlops 
                                    [3217] DistributedData::doLocalCopies 0.00000  0.0% 2 0    0.0 MFlops 
                                       [3347] DistributedData::doLocalCopiesWithCopy 0.00000  0.0% 2 0    0.0 MFlops 
                                 [3358] CommunicationMetaData constructor 0.00000  0.0% 2 0    0.0 MFlops 
                        [2490] ebforall 0.00001  0.0% 2 0    0.0 MFlops 
                           [2505] forallInPlaceBase 0.00001  0.0% 2 0    0.0 MFlops 
                              [2515] protoForall 0.00001  0.0% 2 0    0.0 MFlops 
                                 [2526] BoxData::makevars 0.00001  0.0% 2 0    0.0 MFlops 
                                    [2535] indexer 0.00001  0.0% 2 0    0.0 MFlops 
                        [3047] HostBoxData::define(Box) (memory allocation) 0.00000  0.0% 2 0    0.0 MFlops 
                        [3179] EBGraph::getIrregVoFs 0.00000  0.0% 2 0    0.0 MFlops 
                           [3373] EBGraph::getIrregCells 0.00000  0.0% 2 0    0.0 MFlops 
                     [2284] DistributedData constructor 0.00002  0.0% 6 0    0.0 MFlops 
                        [3110] EBGraph::getIrregVoFs 0.00000  0.0% 6 0    0.0 MFlops 
                           [3290] EBGraph::getIrregCells 0.00000  0.0% 6 0    0.0 MFlops 
                     [3106] EBGraph::getIrregVoFs 0.00000  0.0% 4 0    0.0 MFlops 
                        [3316] EBGraph::getIrregCells 0.00000  0.0% 4 0    0.0 MFlops 
                     [3146] HostBoxData::define(Box) (memory allocation) 0.00000  0.0% 2 0    0.0 MFlops 
                  [2598] DistributedData constructor 0.00001  0.0% 4 0    0.0 MFlops 
                     [3163] EBGraph::getIrregVoFs 0.00000  0.0% 4 0    0.0 MFlops 
                        [3322] EBGraph::getIrregCells 0.00000  0.0% 4 0    0.0 MFlops 
               [1121] HostBoxData::setval 0.00044  0.0% 2 0    0.0 MFlops 
               [1528] EBPoissonOp::fillkappa 0.00018  0.0% 2 0    0.0 MFlops 
                  [1846] EBLevelBoxData::exchange 0.00009  0.0% 2 0    0.0 MFlops 
                     [1849] EBLevelBoxData::exchangeWithGPU 0.00009  0.0% 2 0    0.0 MFlops 
                        [2078] EBLevelBoxData::copyToHost 0.00005  0.0% 2 0    0.0 MFlops 
                        [2339] EBLevelBoxData::copyToDevice 0.00002  0.0% 2 0    0.0 MFlops 
                        [2701] DistributedData constructor 0.00001  0.0% 2 0    0.0 MFlops 
                           [3176] EBGraph::getIrregVoFs 0.00000  0.0% 2 0    0.0 MFlops 
                              [3356] EBGraph::getIrregCells 0.00000  0.0% 2 0    0.0 MFlops 
                           [3184] HostBoxData::define(Box) (memory allocation) 0.00000  0.0% 2 0    0.0 MFlops 
                        [2774] DistributedData::exchange 0.00000  0.0% 2 0    0.0 MFlops 
                           [2886] BoxPattern::exchange constructor 0.00000  0.0% 2 0    0.0 MFlops 
                           [3170] DistributedData::communicate 0.00000  0.0% 2 0    0.0 MFlops 
                              [3247] DistributedData::doLocalCopies 0.00000  0.0% 2 0    0.0 MFlops 
                                 [3345] DistributedData::doLocalCopiesWithCopy 0.00000  0.0% 2 0    0.0 MFlops 
                           [3357] CommunicationMetaData constructor 0.00000  0.0% 2 0    0.0 MFlops 
                  [2224] ebforall 0.00003  0.0% 2 0    0.0 MFlops 
