-----------
Timer report 0 (4410 timers)
--------------
[0] root 998.84547 100.0% 1 50514850200   50.6 MFlops 
   [1] EBINS::run 994.91067 99.6% 1 50514504600   50.8 MFlops 
      [2] EBINS::advanceVelocityAndPressure 942.58696 94.4% 100 49138679200   52.1 MFlops 
         [3] EBINS::advanceVelocityNavierStokes 600.08725 60.1% 100 40061372400   66.8 MFlops 
            [4] EBMultigrid::solve 599.99014 60.1% 200 40057276400   66.8 MFlops 
               [5] sgmg::vcycle 554.83666 55.5% 5400 38305882800   69.0 MFlops 
                  [6] sgmglevel::vcycle 554.83527 55.5% 5400 38305882800   69.0 MFlops 
                     [7] EBPoissonOp::relax 272.04497 27.2% 10800 26508038400   97.4 MFlops 
                        [9] EBPoissonOp::residual 173.38519 17.4% 86400 25955078400  149.7 MFlops 
                           [23] EBMultigrid::applyOp 90.70296  9.1% 86400 25402118400  280.1 MFlops 
                              [39] EBStencil::apply 36.27996  3.6% 345600 25402118400  700.2 MFlops 
                                 [40] EBStencil::applyITZ 36.21294  3.6% 345600 25402118400  701.5 MFlops 
                                    [42] AggSten::apply 36.09321  3.6% 345600 25402118400  703.8 MFlops 
                              [43] EBLevelBoxData::exchange 35.55534  3.6% 86400 0    0.0 MFlops 
                                 [44] EBLevelBoxData::exchangeCPUOnly 35.54028  3.6% 86400 0    0.0 MFlops 
                                    [47] DistributedData::exchange 34.11794  3.4% 86400 0    0.0 MFlops 
                                       [48] DistributedData::communicate 32.83567  3.3% 86400 0    0.0 MFlops 
                                          [49] DistributedData::doLocalCopies 32.82338  3.3% 86400 0    0.0 MFlops 
                                             [50] DistributedData::doLocalCopiesWithCopy 32.80975  3.3% 86400 0    0.0 MFlops 
                                                [53] HostBoxData::copy 32.12414  3.2% 1036800 0    0.0 MFlops 
                                                [1036] HostIrregData::copy 0.31796  0.0% 1036800 0    0.0 MFlops 
                                       [566] BoxPattern::exchange constructor 1.17474  0.1% 86400 0    0.0 MFlops 
                                       [2994] CommunicationMetaData constructor 0.00352  0.0% 86400 0    0.0 MFlops 
                                    [583] DistributedData constructor 1.14114  0.1% 86400 0    0.0 MFlops 
                              [89] ebforall_i 17.97779  1.8% 345600 0    0.0 MFlops 
                                 [92] protoForall_i 17.78728  1.8% 345600 0    0.0 MFlops 
                                    [94] BoxData::makevars_i 17.33030  1.7% 345600 0    0.0 MFlops 
                                       [97] indexer_i 17.21171  1.7% 345600 0    0.0 MFlops 
                           [27] BoxData::setVal 72.67953  7.3% 345600 552960000    7.6 MFlops 
                              [28] BoxData::operator 72.61902  7.3% 345600 552960000    7.6 MFlops 
                                 [1415] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.14297  0.0% 345600 0    0.0 MFlops 
                           [136] ebforall 9.61474  1.0% 345600 0    0.0 MFlops 
                              [137] forallInPlaceBase 9.49411  1.0% 345600 0    0.0 MFlops 
                                 [139] protoForall 9.43549  0.9% 345600 0    0.0 MFlops 
                                    [140] BoxData::makevars 9.15535  0.9% 345600 0    0.0 MFlops 
                                       [143] indexer 9.09868  0.9% 345600 0    0.0 MFlops 
                        [25] BoxData::setVal 72.79665  7.3% 345600 552960000    7.6 MFlops 
                           [26] BoxData::operator 72.73619  7.3% 345600 552960000    7.6 MFlops 
                              [1394] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.14952  0.0% 345600 0    0.0 MFlops 
                        [63] ebforall_i 25.37638  2.5% 345600 0    0.0 MFlops 
                           [64] protoForall_i 25.16330  2.5% 345600 0    0.0 MFlops 
                              [65] BoxData::makevars_i 24.63024  2.5% 345600 0    0.0 MFlops 
                                 [66] indexer_i 24.51999  2.5% 345600 0    0.0 MFlops 
                     [8] sgmglevel::vcycle 248.09082 24.8% 5400 9544618800   38.5 MFlops 
                        [21] sgmglevel::vcycle 132.61757 13.3% 5400 2443208400   18.4 MFlops 
                           [24] sgmglevel::vcycle 77.42941  7.8% 5400 686210400    8.9 MFlops 
                              [36] sgmglevel::vcycle 43.21025  4.3% 5400 230817600    5.3 MFlops 
                                 [69] sgmglevel::vcycle 21.06241  2.1% 5400 96962400    4.6 MFlops 
                                    [101] EBRelaxSolver::solve 16.25997  1.6% 5400 75535200    4.6 MFlops 
                                       [102] EBMultigrid::preCond 15.51872  1.6% 5400 72316800    4.7 MFlops 
                                          [103] EBPoissonOp::relax 15.51785  1.6% 5400 72316800    4.7 MFlops 
                                             [138] EBPoissonOp::residual 9.49030  1.0% 291600 43156800    4.5 MFlops 
                                                [268] BoxData::setVal 4.18731  0.4% 291600 29160000    7.0 MFlops 
                                                   [271] BoxData::operator 4.14181  0.4% 291600 29160000    7.0 MFlops 
                                                      [1485] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.12049  0.0% 291600 0    0.0 MFlops 
                                                [276] EBMultigrid::applyOp 4.03620  0.4% 291600 13996800    3.5 MFlops 
                                                   [429] EBLevelBoxData::exchange 2.01988  0.2% 291600 0    0.0 MFlops 
