-----------
Timer report 0 (3550 timers)
--------------
[0] root 2443.78119 100.0% 1 311486647722  127.5 MFlops 
   [1] EBINS::run 2035.71966 83.3% 1 311479182762  153.0 MFlops 
      [2] EBINS::advanceVelocityAndPressure 1944.88850 79.6% 10 306559439232  157.6 MFlops 
         [3] EBINS::advanceVelocityNavierStokes 896.60751 36.7% 10 230354807712  256.9 MFlops 
            [4] EBMultigrid::solve 896.03597 36.7% 30 230315486112  257.0 MFlops 
               [5] sgmg::vcycle 813.92177 33.3% 114 216226096416  265.7 MFlops 
                  [6] sgmglevel::vcycle 813.92160 33.3% 114 216226096416  265.7 MFlops 
                                          [513] indexer 1.66880  0.1% 1824 0    0.0 MFlops 
                           [129] BoxData::setVal 20.72378  0.8% 1824 116736000    5.6 MFlops 
                              [130] BoxData::operator 20.72316  0.8% 1824 116736000    5.6 MFlops 
                                 [2079] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.00119  0.0% 1824 0    0.0 MFlops 
                           [334] ebforall_i 4.03861  0.2% 1824 0    0.0 MFlops 
                              [335] protoForall_i 4.03757  0.2% 1824 0    0.0 MFlops 
                                 [336] BoxData::makevars_i 4.03337  0.2% 1824 0    0.0 MFlops 
                                    [337] indexer_i 4.03266  0.2% 1824 0    0.0 MFlops 
                        [106] sgmglevel::vcycle 27.91039  1.1% 114 2888931456  103.5 MFlops 
                           [153] EBPoissonOp::relax 15.40567  0.6% 228 2386273536  154.9 MFlops 
                              [203] EBPoissonOp::residual 10.25150  0.4% 1824 2361058560  230.3 MFlops 
                                 [289] EBMultigrid::applyOp 5.51058  0.2% 1824 2335843584  423.9 MFlops 
                                    [308] EBStencil::apply 4.98804  0.2% 1824 2335843584  468.3 MFlops 
                                       [309] EBStencil::applyITZ 4.98770  0.2% 1824 2335843584  468.3 MFlops 
                                          [376] AggSten::apply 2.99676  0.1% 1824 2260767744  754.4 MFlops 
                                          [456] Stencil::apply 1.98990  0.1% 1824 75075840   37.7 MFlops 
                                             [457] Stencil::protoApply 1.98967  0.1% 1824 75075840   37.7 MFlops 
                                                [458] Stencil::hostApply 1.98932  0.1% 1824 0    0.0 MFlops 
                                    [760] ebforall_i 0.50001  0.0% 1824 0    0.0 MFlops 
                                       [761] protoForall_i 0.49916  0.0% 1824 0    0.0 MFlops 
                                          [762] BoxData::makevars_i 0.49607  0.0% 1824 0    0.0 MFlops 
                                             [763] indexer_i 0.49534  0.0% 1824 0    0.0 MFlops 
                                    [1533] EBLevelBoxData::exchange 0.01618  0.0% 1824 0    0.0 MFlops 
                                       [1535] EBLevelBoxData::exchangeCPUOnly 0.01586  0.0% 1824 0    0.0 MFlops 
                                          [1723] DistributedData constructor 0.00729  0.0% 1824 0    0.0 MFlops 
                                          [1786] DistributedData::exchange 0.00454  0.0% 1824 0    0.0 MFlops 
                                             [1973] BoxPattern::exchange constructor 0.00218  0.0% 1824 0    0.0 MFlops 
                                             [2253] DistributedData::communicate 0.00057  0.0% 1824 0    0.0 MFlops 
                                                [2381] DistributedData::doLocalCopies 0.00034  0.0% 1824 0    0.0 MFlops 
                                                   [2630] DistributedData::doLocalCopiesWithCopy 0.00009  0.0% 1824 0    0.0 MFlops 
                                             [2670] CommunicationMetaData constructor 0.00008  0.0% 1824 0    0.0 MFlops 
                                 [328] BoxData::setVal 4.45933  0.2% 1824 25214976    5.7 MFlops 
                                    [329] BoxData::operator 4.45905  0.2% 1824 25214976    5.7 MFlops 
                                       [2137] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.00091  0.0% 1824 0    0.0 MFlops 
                                 [907] ebforall 0.27730  0.0% 1824 0    0.0 MFlops 
                                    [908] forallInPlaceBase 0.27672  0.0% 1824 0    0.0 MFlops 
                                       [909] protoForall 0.27633  0.0% 1824 0    0.0 MFlops 
                                          [910] BoxData::makevars 0.27439  0.0% 1824 0    0.0 MFlops 
                                             [911] indexer 0.27403  0.0% 1824 0    0.0 MFlops 
                              [326] BoxData::setVal 4.46307  0.2% 1824 25214976    5.6 MFlops 
                                 [327] BoxData::operator 4.46272  0.2% 1824 25214976    5.7 MFlops 
                                    [2104] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.00103  0.0% 1824 0    0.0 MFlops 
                              [678] ebforall_i 0.68035  0.0% 1824 0    0.0 MFlops 
                                 [681] protoForall_i 0.67959  0.0% 1824 0    0.0 MFlops 
                                    [682] BoxData::makevars_i 0.67589  0.0% 1824 0    0.0 MFlops 
                                       [683] indexer_i 0.67525  0.0% 1824 0    0.0 MFlops 
                           [214] sgmglevel::vcycle 9.38514  0.4% 114 316335408   33.7 MFlops 
                              [310] sgmglevel::vcycle 4.86409  0.2% 114 46878624    9.6 MFlops 
                                 [369] sgmglevel::vcycle 3.19822  0.1% 114 18893904    5.9 MFlops 
                                    [408] EBRelaxSolver::solve 2.48042  0.1% 114 14720592    5.9 MFlops 
                                       [415] EBMultigrid::preCond 2.38377  0.1% 114 14084928    5.9 MFlops 
                                          [416] EBPoissonOp::relax 2.38374  0.1% 114 14084928    5.9 MFlops 
                                             [574] EBPoissonOp::residual 1.23014  0.1% 6156 7928928    6.4 MFlops 
                                                [588] BoxData::setVal 1.09715  0.0% 6156 6156000    5.6 MFlops 
                                                   [589] BoxData::operator 1.09628  0.0% 6156 6156000    5.6 MFlops 
                                                      [1887] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.00303  0.0% 6156 0    0.0 MFlops 
                                                [1150] EBMultigrid::applyOp 0.09867  0.0% 6156 1772928   18.0 MFlops 
                                                   [1315] EBLevelBoxData::exchange 0.04044  0.0% 6156 0    0.0 MFlops 
                                                      [1324] EBLevelBoxData::exchangeCPUOnly 0.03961  0.0% 6156 0    0.0 MFlops 
                                                         [1524] DistributedData constructor 0.01744  0.0% 6156 0    0.0 MFlops 
                                                         [1613] DistributedData::exchange 0.01249  0.0% 6156 0    0.0 MFlops 
                                                   [1357] ebforall_i 0.03238  0.0% 6156 0    0.0 MFlops 
                                                      [1371] protoForall_i 0.03037  0.0% 6156 0    0.0 MFlops 
                                                         [1481] BoxData::makevars_i 0.02117  0.0% 6156 0    0.0 MFlops 
                                                   [1646] EBStencil::apply 0.01077  0.0% 6156 1772928  164.6 MFlops 
                                                      [1659] EBStencil::applyITZ 0.00999  0.0% 6156 1772928  177.5 MFlops 
                                                         [1733] AggSten::apply 0.00670  0.0% 6156 1772928  264.6 MFlops 
                                                         [2110] Stencil::apply 0.00097  0.0% 6156 0    0.0 MFlops 
                                                [1462] ebforall 0.02212  0.0% 6156 0    0.0 MFlops 
                                                   [1485] forallInPlaceBase 0.02053  0.0% 6156 0    0.0 MFlops 
                                                      [1495] protoForall 0.01949  0.0% 6156 0    0.0 MFlops 
                                                         [1598] BoxData::makevars 0.01317  0.0% 6156 0    0.0 MFlops 
                                             [586] BoxData::setVal 1.09835  0.0% 6156 6156000    5.6 MFlops 
                                                [587] BoxData::operator 1.09745  0.0% 6156 6156000    5.6 MFlops 
                                                   [1888] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.00302  0.0% 6156 0    0.0 MFlops 
                                             [1321] ebforall_i 0.03998  0.0% 6156 0    0.0 MFlops 
                                                [1335] protoForall_i 0.03786  0.0% 6156 0    0.0 MFlops 
                                                   [1412] BoxData::makevars_i 0.02597  0.0% 6156 0    0.0 MFlops 
                                                      [1428] indexer_i 0.02396  0.0% 6156 0    0.0 MFlops 
                                       [1294] EBPoissonOp::residual 0.04646  0.0% 228 293664    6.3 MFlops 
                                          [1306] BoxData::setVal 0.04085  0.0% 228 228000    5.6 MFlops 
