-----------
Timer report 0 (4883 timers)
--------------
[0] root 7919.61073 100.0% 1 284131841142   35.9 MFlops 
   [1] EBINS::run 7901.52255 99.8% 1 284130458742   36.0 MFlops 
      [2] EBINS::advanceVelocityAndPressure 7633.40466 96.4% 100 278244589800   36.5 MFlops 
         [3] EBINS::advanceVelocityNavierStokes 2788.85010 35.2% 100 163931974800   58.8 MFlops 
            [4] EBMultigrid::solve 2788.48458 35.2% 200 163915590800   58.8 MFlops 
               [5] sgmg::vcycle 2590.73555 32.7% 5400 156789745200   60.5 MFlops 
                  [6] sgmglevel::vcycle 2590.73312 32.7% 5400 156789745200   60.5 MFlops 
                     [18] EBPoissonOp::relax 1276.99143 16.1% 10800 107887766400   84.5 MFlops 
                        [24] EBPoissonOp::residual 843.84576 10.7% 86400 105675926400  125.2 MFlops 
                           [31] EBMultigrid::applyOp 481.36016  6.1% 86400 103464086400  214.9 MFlops 
                              [57] EBLevelBoxData::exchange 238.11091  3.0% 86400 0    0.0 MFlops 
                                 [58] EBLevelBoxData::exchangeCPUOnly 238.08959  3.0% 86400 0    0.0 MFlops 
                                    [63] DistributedData::exchange 234.11362  3.0% 86400 0    0.0 MFlops 
                                       [66] DistributedData::communicate 224.24530  2.8% 86400 0    0.0 MFlops 
                                          [67] DistributedData::doLocalCopies 224.23095  2.8% 86400 0    0.0 MFlops 
                                             [68] DistributedData::doLocalCopiesWithCopy 224.21584  2.8% 86400 0    0.0 MFlops 
                                                [75] HostBoxData::copy 219.30074  2.8% 7257600 0    0.0 MFlops 
                                                [1034] HostIrregData::copy 1.96733  0.0% 7257600 0    0.0 MFlops 
                                       [528] BoxPattern::exchange constructor 9.64116  0.1% 86400 0    0.0 MFlops 
                                       [3616] CommunicationMetaData constructor 0.00392  0.0% 86400 0    0.0 MFlops 
                                    [842] DistributedData constructor 3.40693  0.0% 86400 0    0.0 MFlops 
                              [85] EBStencil::apply 160.23560  2.0% 1382400 103464086400  645.7 MFlops 
                                 [86] EBStencil::applyITZ 159.92633  2.0% 1382400 103464086400  646.9 MFlops 
