-----------
Timer report 0 (4410 timers)
--------------
[0] root 1658.31359 100.0% 1 69813956856   42.1 MFlops 
   [1] EBINS::run 1654.40633 99.8% 1 69813611256   42.2 MFlops 
      [2] EBINS::advanceVelocityAndPressure 1599.01810 96.4% 100 68341770400   42.7 MFlops 
         [3] EBINS::advanceVelocityNavierStokes 595.61691 35.9% 100 40061372400   67.3 MFlops 
            [4] EBMultigrid::solve 595.51711 35.9% 200 40057276400   67.3 MFlops 
               [5] sgmg::vcycle 550.87544 33.2% 5400 38305882800   69.5 MFlops 
                  [6] sgmglevel::vcycle 550.87408 33.2% 5400 38305882800   69.5 MFlops 
                     [18] EBPoissonOp::relax 269.61042 16.3% 10800 26508038400   98.3 MFlops 
                        [24] EBPoissonOp::residual 171.46283 10.3% 86400 25955078400  151.4 MFlops 
                           [33] EBMultigrid::applyOp 89.39674  5.4% 86400 25402118400  284.2 MFlops 
                              [60] EBStencil::apply 35.39258  2.1% 345600 25402118400  717.7 MFlops 
                                 [61] EBStencil::applyITZ 35.32656  2.1% 345600 25402118400  719.1 MFlops 
                                    [66] AggSten::apply 35.21047  2.1% 345600 25402118400  721.4 MFlops 
                              [62] EBLevelBoxData::exchange 35.28250  2.1% 86400 0    0.0 MFlops 
                                 [63] EBLevelBoxData::exchangeCPUOnly 35.26753  2.1% 86400 0    0.0 MFlops 
                                    [71] DistributedData::exchange 33.88036  2.0% 86400 0    0.0 MFlops 
                                       [74] DistributedData::communicate 32.61011  2.0% 86400 0    0.0 MFlops 
                                          [75] DistributedData::doLocalCopies 32.59744  2.0% 86400 0    0.0 MFlops 
                                             [76] DistributedData::doLocalCopiesWithCopy 32.58559  2.0% 86400 0    0.0 MFlops 
                                                [84] HostBoxData::copy 31.90343  1.9% 1036800 0    0.0 MFlops 
                                                [1146] HostIrregData::copy 0.31623  0.0% 1036800 0    0.0 MFlops 
                                       [655] BoxPattern::exchange constructor 1.16357  0.1% 86400 0    0.0 MFlops 
                                       [3033] CommunicationMetaData constructor 0.00356  0.0% 86400 0    0.0 MFlops 
                                    [686] DistributedData constructor 1.11676  0.1% 86400 0    0.0 MFlops 
                              [145] ebforall_i 17.87152  1.1% 345600 0    0.0 MFlops 
                                 [157] protoForall_i 17.68744  1.1% 345600 0    0.0 MFlops 
                                    [160] BoxData::makevars_i 17.24871  1.0% 345600 0    0.0 MFlops 
                                       [163] indexer_i 17.13702  1.0% 345600 0    0.0 MFlops 
                           [37] BoxData::setVal 72.16717  4.4% 345600 552960000    7.7 MFlops 
                              [38] BoxData::operator 72.11224  4.3% 345600 552960000    7.7 MFlops 
                                 [1507] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.14113  0.0% 345600 0    0.0 MFlops 
                           [236] ebforall 9.51697  0.6% 345600 0    0.0 MFlops 
                              [239] forallInPlaceBase 9.39855  0.6% 345600 0    0.0 MFlops 
                                 [243] protoForall 9.34307  0.6% 345600 0    0.0 MFlops 
                                    [246] BoxData::makevars 9.06112  0.5% 345600 0    0.0 MFlops 
                                       [249] indexer 9.00456  0.5% 345600 0    0.0 MFlops 
                        [35] BoxData::setVal 72.38131  4.4% 345600 552960000    7.6 MFlops 
                           [36] BoxData::operator 72.32457  4.4% 345600 552960000    7.6 MFlops 
