-----------
Timer report 0 (4410 timers)
--------------
[0] root 1218.16979 100.0% 1 56947885752   46.7 MFlops 
   [1] EBINS::run 1214.21055 99.7% 1 56947540152   46.9 MFlops 
      [2] EBINS::advanceVelocityAndPressure 1161.11775 95.3% 100 55539709600   47.8 MFlops 
         [3] EBINS::advanceVelocityNavierStokes 598.40955 49.1% 100 40061372400   66.9 MFlops 
            [4] EBMultigrid::solve 598.30816 49.1% 200 40057276400   67.0 MFlops 
               [5] sgmg::vcycle 553.70623 45.5% 5400 38305882800   69.2 MFlops 
                  [6] sgmglevel::vcycle 553.70475 45.5% 5400 38305882800   69.2 MFlops 
                     [14] EBPoissonOp::relax 270.18858 22.2% 10800 26508038400   98.1 MFlops 
                        [20] EBPoissonOp::residual 171.95004 14.1% 86400 25955078400  150.9 MFlops 
                           [27] EBMultigrid::applyOp 89.50891  7.3% 86400 25402118400  283.8 MFlops 
                              [52] EBStencil::apply 35.48144  2.9% 345600 25402118400  715.9 MFlops 
                                 [55] EBStencil::applyITZ 35.41132  2.9% 345600 25402118400  717.3 MFlops 
                                    [56] AggSten::apply 35.28638  2.9% 345600 25402118400  719.9 MFlops 
                              [53] EBLevelBoxData::exchange 35.43419  2.9% 86400 0    0.0 MFlops 
                                 [54] EBLevelBoxData::exchangeCPUOnly 35.41954  2.9% 86400 0    0.0 MFlops 
                                    [60] DistributedData::exchange 34.00859  2.8% 86400 0    0.0 MFlops 
                                       [62] DistributedData::communicate 32.74134  2.7% 86400 0    0.0 MFlops 
                                          [63] DistributedData::doLocalCopies 32.72807  2.7% 86400 0    0.0 MFlops 
                                             [64] DistributedData::doLocalCopiesWithCopy 32.71551  2.7% 86400 0    0.0 MFlops 
                                                [66] HostBoxData::copy 32.00457  2.6% 1036800 0    0.0 MFlops 
                                                [1101] HostIrregData::copy 0.32297  0.0% 1036800 0    0.0 MFlops 
                                       [609] BoxPattern::exchange constructor 1.15970  0.1% 86400 0    0.0 MFlops 
                                       [3016] CommunicationMetaData constructor 0.00355  0.0% 86400 0    0.0 MFlops 
                                    [627] DistributedData constructor 1.13260  0.1% 86400 0    0.0 MFlops 
                              [102] ebforall_i 17.72923  1.5% 345600 0    0.0 MFlops 
                                 [105] protoForall_i 17.54031  1.4% 345600 0    0.0 MFlops 
                                    [107] BoxData::makevars_i 17.08930  1.4% 345600 0    0.0 MFlops 
