-----------
Timer report 0 (3088 timers)
--------------
[0] root 31.02999 100.0% 1 31748937424 1023.2 MFlops 
   [1] EBINS::run 27.38602 88.3% 1 31747657424 1159.3 MFlops 
      [2] EBINS::advanceVelocityAndPressure 26.29208 84.7% 10 31092073960 1182.6 MFlops 
         [3] EBINS::advanceVelocityNavierStokes 12.94569 41.7% 10 21585610320 1667.4 MFlops 
            [4] EBMultigrid::solve 12.93900 41.7% 30 21580695120 1667.9 MFlops 
               [5] sgmg::vcycle 12.07719 38.9% 90 20185756560 1671.4 MFlops 
                  [6] sgmglevel::vcycle 12.07716 38.9% 90 20185756560 1671.4 MFlops 
                     [7] EBPoissonOp::relax 8.90860 28.7% 180 16693182720 1873.8 MFlops 
                                       [594] BoxData::makevars 0.01523  0.0% 1440 0    0.0 MFlops 
                                          [595] indexer 0.01514  0.0% 1440 0    0.0 MFlops 
                           [130] BoxData::setVal 0.25195  0.8% 1440 19906560   79.0 MFlops 
                              [132] BoxData::operator 0.25182  0.8% 1440 19906560   79.1 MFlops 
                                 [1910] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.00007  0.0% 1440 0    0.0 MFlops 
                           [382] ebforall_i 0.04618  0.1% 1440 0    0.0 MFlops 
                              [383] protoForall_i 0.04606  0.1% 1440 0    0.0 MFlops 
                                 [384] BoxData::makevars_i 0.04587  0.1% 1440 0    0.0 MFlops 
                                    [385] indexer_i 0.04576  0.1% 1440 0    0.0 MFlops 
                        [74] sgmglevel::vcycle 0.59548  1.9% 90 249738480  419.4 MFlops 
                           [124] sgmglevel::vcycle 0.30470  1.0% 90 37009440  121.5 MFlops 
                              [149] sgmglevel::vcycle 0.20046  0.6% 90 14916240   74.4 MFlops 
                                 [175] EBRelaxSolver::solve 0.15380  0.5% 90 11621520   75.6 MFlops 
                                    [179] EBMultigrid::preCond 0.14749  0.5% 90 11119680   75.4 MFlops 
                                       [180] EBPoissonOp::relax 0.14749  0.5% 90 11119680   75.4 MFlops 
                                          [262] EBPoissonOp::residual 0.07942  0.3% 4860 6259680   78.8 MFlops 
                                             [345] BoxData::setVal 0.06447  0.2% 4860 4860000   75.4 MFlops 
                                                [346] BoxData::operator 0.06418  0.2% 4860 4860000   75.7 MFlops 
                                                   [1674] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.00019  0.0% 4860 0    0.0 MFlops 
                                             [633] EBMultigrid::applyOp 0.01161  0.0% 4860 1399680  120.6 MFlops 
                                                [813] EBLevelBoxData::exchange 0.00502  0.0% 4860 0    0.0 MFlops 
                                                   [818] EBLevelBoxData::exchangeCPUOnly 0.00474  0.0% 4860 0    0.0 MFlops 
                                                      [1098] DistributedData::exchange 0.00198  0.0% 4860 0    0.0 MFlops 
                                                         [1341] DistributedData::communicate 0.00073  0.0% 4860 0    0.0 MFlops 
                                                         [1480] BoxPattern::exchange constructor 0.00046  0.0% 4860 0    0.0 MFlops 
                                                         [1742] CommunicationMetaData constructor 0.00013  0.0% 4860 0    0.0 MFlops 
