-----------
Timer report 0 (4410 timers)
--------------
[0] root 4296.69593 100.0% 1 147010383480   34.2 MFlops 
   [1] EBINS::run 4292.78935 99.9% 1 147010037880   34.2 MFlops 
                                                   [558] BoxData::makevars 2.60893  0.1% 1382400 0    0.0 MFlops 
                                                      [567] indexer 2.38478  0.1% 1382400 0    0.0 MFlops 
                                       [200] BoxData::setVal 27.28421  0.6% 1382400 199065600    7.3 MFlops 
                                          [206] BoxData::operator 27.05926  0.6% 1382400 199065600    7.4 MFlops 
                                             [1033] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.55979  0.0% 1382400 0    0.0 MFlops 
                                       [364] ebforall_i 8.52437  0.2% 1382400 0    0.0 MFlops 
                                          [371] protoForall_i 7.90469  0.2% 1382400 0    0.0 MFlops 
                                             [407] BoxData::makevars_i 5.73900  0.1% 1382400 0    0.0 MFlops 
                                                [413] indexer_i 5.23403  0.1% 1382400 0    0.0 MFlops 
                                    [81] sgmglevel::vcycle 98.28282  2.3% 2700 461616300    4.7 MFlops 
                                       [94] EBPoissonOp::relax 79.03617  1.8% 5400 370828800    4.7 MFlops 
                                          [128] EBPoissonOp::residual 51.68680  1.2% 345600 232588800    4.5 MFlops 
                                             [203] EBMultigrid::applyOp 27.19909  0.6% 345600 94348800    3.5 MFlops 
                                                [251] EBLevelBoxData::exchange 18.50114  0.4% 345600 0    0.0 MFlops 
                                                   [253] EBLevelBoxData::exchangeCPUOnly 18.44229  0.4% 345600 0    0.0 MFlops 
                                                      [277] DistributedData::exchange 14.97235  0.3% 345600 0    0.0 MFlops 
                                                         [328] DistributedData::communicate 10.13296  0.2% 345600 0    0.0 MFlops 
                                                         [456] BoxPattern::exchange constructor 4.46932  0.1% 345600 0    0.0 MFlops 
                                                         [2677] CommunicationMetaData constructor 0.01380  0.0% 345600 0    0.0 MFlops 
                                                      [555] DistributedData constructor 2.64635  0.1% 345600 0    0.0 MFlops 
                                                [448] ebforall_i 4.60163  0.1% 1382400 0    0.0 MFlops 
                                                   [479] protoForall_i 4.10180  0.1% 1382400 0    0.0 MFlops 
                                                      [564] BoxData::makevars_i 2.50894  0.1% 1382400 0    0.0 MFlops 
                                                         [617] indexer_i 2.10572  0.0% 1382400 0    0.0 MFlops 
                                                [701] EBStencil::apply 1.43436  0.0% 1382400 94348800   65.8 MFlops 
                                                   [746] EBStencil::applyITZ 1.20694  0.0% 1382400 94348800   78.2 MFlops 
                                                      [885] AggSten::apply 0.83073  0.0% 1382400 94348800  113.6 MFlops 
                                             [243] BoxData::setVal 19.59443  0.5% 1382400 138240000    7.1 MFlops 
                                                [247] BoxData::operator 19.35082  0.5% 1382400 138240000    7.1 MFlops 
                                                   [1023] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.56682  0.0% 1382400 0    0.0 MFlops 
