-----------
Timer report 0 (4410 timers)
--------------
[0] root 2561.73766 100.0% 1 95546099064   37.3 MFlops 
   [1] EBINS::run 2557.80228 99.8% 1 95545753464   37.4 MFlops 
      [2] EBINS::advanceVelocityAndPressure 2498.79454 97.5% 100 93945892000   37.6 MFlops 
         [3] BCGAdvect::hybridDivergence 956.46991 37.3% 100 27078476400   28.3 MFlops 
            [4] BCGAdvect::getMACVectorVelocity 955.07013 37.3% 100 27033902400   28.3 MFlops 
               [5] EBMACProjector::project 949.25822 37.1% 100 26788449200   28.2 MFlops 
                  [6] EBMultigrid::solve 948.48482 37.0% 100 26765054000   28.2 MFlops 
                     [10] sgmg::vcycle 926.68988 36.2% 2700 26443713600   28.5 MFlops 
                        [11] sgmglevel::vcycle 926.68912 36.2% 2700 26443713600   28.5 MFlops 
                           [18] EBPoissonOp::relax 501.53123 19.6% 5400 18764870400   37.4 MFlops 
                              [22] EBPoissonOp::residual 305.91382 11.9% 172800 17658950400   57.7 MFlops 
                                 [34] BoxData::setVal 144.50761  5.6% 691200 1105920000    7.7 MFlops 
                                    [38] BoxData::operator 144.39972  5.6% 691200 1105920000    7.7 MFlops 
                                       [1262] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.27773  0.0% 691200 0    0.0 MFlops 
                                 [39] EBMultigrid::applyOp 141.62242  5.5% 172800 16553030400  116.9 MFlops 
                                    [55] EBLevelBoxData::exchange 70.10764  2.7% 172800 0    0.0 MFlops 
                                       [56] EBLevelBoxData::exchangeCPUOnly 70.07774  2.7% 172800 0    0.0 MFlops 
                                          [59] DistributedData::exchange 67.33896  2.6% 172800 0    0.0 MFlops 
                                             [62] DistributedData::communicate 64.83715  2.5% 172800 0    0.0 MFlops 
                                                [63] DistributedData::doLocalCopies 64.81225  2.5% 172800 0    0.0 MFlops 
                                                   [65] DistributedData::doLocalCopiesWithCopy 64.78959  2.5% 172800 0    0.0 MFlops 
                                                      [68] HostBoxData::copy 63.41325  2.5% 2073600 0    0.0 MFlops 
                                                      [914] HostIrregData::copy 0.64406  0.0% 2073600 0    0.0 MFlops 
                                             [525] BoxPattern::exchange constructor 2.28857  0.1% 172800 0    0.0 MFlops 
                                             [2838] CommunicationMetaData constructor 0.00808  0.0% 172800 0    0.0 MFlops 
                                          [550] DistributedData constructor 2.19912  0.1% 172800 0    0.0 MFlops 
                                    [109] ebforall_i 35.51145  1.4% 691200 0    0.0 MFlops 
                                       [119] protoForall_i 35.15917  1.4% 691200 0    0.0 MFlops 
                                          [125] BoxData::makevars_i 34.32952  1.3% 691200 0    0.0 MFlops 
                                             [128] indexer_i 34.11466  1.3% 691200 0    0.0 MFlops 
                                    [124] EBStencil::apply 34.43311  1.3% 691200 16553030400  480.7 MFlops 
                                       [126] EBStencil::applyITZ 34.31669  1.3% 691200 16553030400  482.4 MFlops 
                                          [129] AggSten::apply 34.09898  1.3% 691200 16553030400  485.4 MFlops 
                                 [192] ebforall 19.03150  0.7% 691200 0    0.0 MFlops 
                                    [195] forallInPlaceBase 18.79807  0.7% 691200 0    0.0 MFlops 
                                       [197] protoForall 18.68786  0.7% 691200 0    0.0 MFlops 
                                          [200] BoxData::makevars 18.14036  0.7% 691200 0    0.0 MFlops 
                                             [204] indexer 18.03084  0.7% 691200 0    0.0 MFlops 
                              [32] BoxData::setVal 144.56679  5.6% 691200 1105920000    7.6 MFlops 
                                 [36] BoxData::operator 144.45839  5.6% 691200 1105920000    7.7 MFlops 
                                    [1227] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.29490  0.0% 691200 0    0.0 MFlops 
                              [84] ebforall_i 50.09315  2.0% 691200 0    0.0 MFlops 
                                 [88] protoForall_i 49.68170  1.9% 691200 0    0.0 MFlops 
                                    [90] BoxData::makevars_i 48.63781  1.9% 691200 0    0.0 MFlops 
                                       [93] indexer_i 48.43626  1.9% 691200 0    0.0 MFlops 
                           [20] sgmglevel::vcycle 408.52354 15.9% 2700 7087405500   17.3 MFlops 
                              [26] sgmglevel::vcycle 208.99861  8.2% 2700 2065375800    9.9 MFlops 
                                 [44] sgmglevel::vcycle 111.24985  4.3% 2700 680707800    6.1 MFlops 
                                    [74] EBPoissonOp::relax 59.10814  2.3% 5400 424569600    7.2 MFlops 
                                       [97] EBPoissonOp::residual 40.11641  1.6% 172800 325036800    8.1 MFlops 
                                          [171] EBMultigrid::applyOp 23.31483  0.9% 172800 225504000    9.7 MFlops 
                                             [207] EBLevelBoxData::exchange 17.71665  0.7% 172800 0    0.0 MFlops 
                                                [209] EBLevelBoxData::exchangeCPUOnly 17.68937  0.7% 172800 0    0.0 MFlops 
                                                   [226] DistributedData::exchange 15.93490  0.6% 172800 0    0.0 MFlops 
                                                      [243] DistributedData::communicate 13.52151  0.5% 172800 0    0.0 MFlops 
                                                         [245] DistributedData::doLocalCopies 13.49614  0.5% 172800 0    0.0 MFlops 
                                                      [545] BoxPattern::exchange constructor 2.22081  0.1% 172800 0    0.0 MFlops 
                                                      [2851] CommunicationMetaData constructor 0.00793  0.0% 172800 0    0.0 MFlops 
                                                   [677] DistributedData constructor 1.33339  0.1% 172800 0    0.0 MFlops 
                                             [461] ebforall_i 3.24758  0.1% 691200 0    0.0 MFlops 
                                                [473] protoForall_i 2.98110  0.1% 691200 0    0.0 MFlops 
                                                   [560] BoxData::makevars_i 2.18299  0.1% 691200 0    0.0 MFlops 
                                                      [584] indexer_i 1.98185  0.1% 691200 0    0.0 MFlops 
                                             [780] EBStencil::apply 1.02782  0.0% 691200 225504000  219.4 MFlops 
                                                [817] EBStencil::applyITZ 0.92021  0.0% 691200 225504000  245.1 MFlops 
                                                   [867] AggSten::apply 0.72922  0.0% 691200 225504000  309.2 MFlops 
                                          [232] BoxData::setVal 13.95703  0.5% 691200 99532800    7.1 MFlops 
                                             [237] BoxData::operator 13.82599  0.5% 691200 99532800    7.2 MFlops 
                                                [1264] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.27725  0.0% 691200 0    0.0 MFlops 
                                          [563] ebforall 2.15175  0.1% 691200 0    0.0 MFlops 
                                             [590] forallInPlaceBase 1.95534  0.1% 691200 0    0.0 MFlops 
                                                [601] protoForall 1.84750  0.1% 691200 0    0.0 MFlops 
                                                   [682] BoxData::makevars 1.30443  0.1% 691200 0    0.0 MFlops 
                                                      [704] indexer 1.20122  0.0% 691200 0    0.0 MFlops 
                                       [234] BoxData::setVal 13.92618  0.5% 691200 99532800    7.1 MFlops 
                                          [239] BoxData::operator 13.82200  0.5% 691200 99532800    7.2 MFlops 
                                             [1245] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.28628  0.0% 691200 0    0.0 MFlops 
                                       [414] ebforall_i 4.18427  0.2% 691200 0    0.0 MFlops 
                                          [425] protoForall_i 3.87044  0.2% 691200 0    0.0 MFlops 
                                             [477] BoxData::makevars_i 2.82631  0.1% 691200 0    0.0 MFlops 
                                                [483] indexer_i 2.62660  0.1% 691200 0    0.0 MFlops 
                                    [86] sgmglevel::vcycle 49.99054  2.0% 2700 233865900    4.7 MFlops 
                                       [103] EBPoissonOp::relax 39.74638  1.6% 5400 185414400    4.7 MFlops 
                                          [153] EBPoissonOp::residual 26.02417  1.0% 172800 116294400    4.5 MFlops 
                                             [241] EBMultigrid::applyOp 13.68342  0.5% 172800 47174400    3.4 MFlops 
                                                [298] EBLevelBoxData::exchange 9.32038  0.4% 172800 0    0.0 MFlops 
                                                   [300] EBLevelBoxData::exchangeCPUOnly 9.29371  0.4% 172800 0    0.0 MFlops 
                                                      [328] DistributedData::exchange 7.56124  0.3% 172800 0    0.0 MFlops 
                                                         [381] DistributedData::communicate 5.15449  0.2% 172800 0    0.0 MFlops 
                                                         [546] BoxPattern::exchange constructor 2.21303  0.1% 172800 0    0.0 MFlops 
                                                         [2860] CommunicationMetaData constructor 0.00777  0.0% 172800 0    0.0 MFlops 
                                                      [681] DistributedData constructor 1.31730  0.1% 172800 0    0.0 MFlops 
                                                [521] ebforall_i 2.30998  0.1% 691200 0    0.0 MFlops 
                                                   [578] protoForall_i 2.05303  0.1% 691200 0    0.0 MFlops 
                                                      [691] BoxData::makevars_i 1.25605  0.0% 691200 0    0.0 MFlops 
                                                         [764] indexer_i 1.05757  0.0% 691200 0    0.0 MFlops 
                                                [873] EBStencil::apply 0.72123  0.0% 691200 47174400   65.4 MFlops 
                                                   [931] EBStencil::applyITZ 0.61858  0.0% 691200 47174400   76.3 MFlops 
                                                      [1089] AggSten::apply 0.42849  0.0% 691200 47174400  110.1 MFlops 
                                             [285] BoxData::setVal 9.96716  0.4% 691200 69120000    6.9 MFlops 
                                                [289] BoxData::operator 9.86614  0.4% 691200 69120000    7.0 MFlops 
                                                   [1277] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.27559  0.0% 691200 0    0.0 MFlops 
                                             [621] ebforall 1.67010  0.1% 691200 0    0.0 MFlops 
                                                [656] forallInPlaceBase 1.46169  0.1% 691200 0    0.0 MFlops 
                                                   [670] protoForall 1.35322  0.1% 691200 0    0.0 MFlops 
                                                      [838] BoxData::makevars 0.80994  0.0% 691200 0    0.0 MFlops 
                                                         [877] indexer 0.70913  0.0% 691200 0    0.0 MFlops 
                                          [282] BoxData::setVal 9.97981  0.4% 691200 69120000    6.9 MFlops 
                                             [286] BoxData::operator 9.87740  0.4% 691200 69120000    7.0 MFlops 
                                                [1247] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.28389  0.0% 691200 0    0.0 MFlops 
                                          [476] ebforall_i 2.87185  0.1% 691200 0    0.0 MFlops 
                                             [489] protoForall_i 2.56931  0.1% 691200 0    0.0 MFlops 
                                                [640] BoxData::makevars_i 1.53133  0.1% 691200 0    0.0 MFlops 
                                                   [676] indexer_i 1.33452  0.1% 691200 0    0.0 MFlops 
                                       [302] sgmglevel::vcycle 9.16423  0.4% 2700 42336000    4.6 MFlops 
                                          [306] EBPoissonOp::relax 9.11285  0.4% 5400 42336000    4.6 MFlops 
                                             [374] EBPoissonOp::residual 5.56987  0.2% 172800 25056000    4.5 MFlops 
                                                [493] BoxData::setVal 2.49466  0.1% 172800 17280000    6.9 MFlops 
                                                   [498] BoxData::operator 2.46893  0.1% 172800 17280000    7.0 MFlops 
                                                      [1905] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.07062  0.0% 172800 0    0.0 MFlops 
                                                [514] EBMultigrid::applyOp 2.34221  0.1% 172800 7776000    3.3 MFlops 
                                                   [717] EBLevelBoxData::exchange 1.16301  0.0% 172800 0    0.0 MFlops 
                                                      [723] EBLevelBoxData::exchangeCPUOnly 1.14059  0.0% 172800 0    0.0 MFlops 
                                                         [1037] DistributedData constructor 0.50238  0.0% 172800 0    0.0 MFlops 
                                                         [1151] DistributedData::exchange 0.35682  0.0% 172800 0    0.0 MFlops 
                                                   [949] ebforall_i 0.58811  0.0% 172800 0    0.0 MFlops 
                                                      [1014] protoForall_i 0.52670  0.0% 172800 0    0.0 MFlops 
                                                         [1188] BoxData::makevars_i 0.32319  0.0% 172800 0    0.0 MFlops 
                                                   [1451] EBStencil::apply 0.17951  0.0% 172800 7776000   43.3 MFlops 
                                                      [1519] EBStencil::applyITZ 0.15669  0.0% 172800 7776000   49.6 MFlops 
                                                         [1685] AggSten::apply 0.10564  0.0% 172800 7776000   73.6 MFlops 
                                                [1103] ebforall 0.41910  0.0% 172800 0    0.0 MFlops 
                                                   [1139] forallInPlaceBase 0.36793  0.0% 172800 0    0.0 MFlops 
                                                      [1172] protoForall 0.34088  0.0% 172800 0    0.0 MFlops 
                                                         [1392] BoxData::makevars 0.20367  0.0% 172800 0    0.0 MFlops 
                                             [497] BoxData::setVal 2.49028  0.1% 172800 17280000    6.9 MFlops 
                                                [501] BoxData::operator 2.46480  0.1% 172800 17280000    7.0 MFlops 
                                                   [1891] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.07254  0.0% 172800 0    0.0 MFlops 
                                             [870] ebforall_i 0.72558  0.0% 172800 0    0.0 MFlops 
                                                [909] protoForall_i 0.64561  0.0% 172800 0    0.0 MFlops 
                                                   [1123] BoxData::makevars_i 0.38447  0.0% 172800 0    0.0 MFlops 
                                                      [1182] indexer_i 0.33432  0.0% 172800 0    0.0 MFlops 
                                       [1049] EBPoissonOp::prolong 0.48882  0.0% 2700 3628800    7.4 MFlops 
                                          [1052] EBPoissonOp::prolongAgglom 0.48610  0.0% 2700 3628800    7.5 MFlops 
                                             [1204] EBPoissonOp::prolong 0.31193  0.0% 2700 3628800   11.6 MFlops 
                                                [1214] EBStencil::apply 0.30745  0.0% 10800 3628800   11.8 MFlops 
                                                   [1362] BoxData::setVal 0.21836  0.0% 10800 1555200    7.1 MFlops 
                                                      [1366] BoxData::operator 0.21655  0.0% 10800 1555200    7.2 MFlops 
                                                         [2976] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.00478  0.0% 10800 0    0.0 MFlops 
                                                   [2356] EBGraph::getIrregVoFs 0.03097  0.0% 10800 0    0.0 MFlops 
                                                      [2709] EBGraph::getIrregCells 0.01142  0.0% 10800 0    0.0 MFlops 
                                                   [2722] EBStencil::applyITZ 0.01108  0.0% 10800 518400   46.8 MFlops 
                                                      [2847] AggSten::apply 0.00797  0.0% 10800 518400   65.0 MFlops 
                                                   [2951] BoxData::operator+= 0.00523  0.0% 10800 1555200  297.6 MFlops 
                                                      [3045] BoxData::operator(BoxData&) 0.00380  0.0% 10800 1555200  409.2 MFlops 
                                             [1471] EBLevelBoxData::copyTo 0.17217  0.0% 5400 0    0.0 MFlops 
                                                [1475] EBLevelBoxData::copyToCPUOnly 0.17124  0.0% 5400 0    0.0 MFlops 
                                                   [1739] DistributedData::copyTo 0.09354  0.0% 5400 0    0.0 MFlops 
                                                      [2022] DistributedData::communicate 0.05730  0.0% 5400 0    0.0 MFlops 
                                                         [2030] DistributedData::doLocalCopies 0.05651  0.0% 5400 0    0.0 MFlops 
                                                      [2362] BoxPattern::exchange constructor 0.03091  0.0% 5400 0    0.0 MFlops 
                                                      [3668] CommunicationMetaData constructor 0.00025  0.0% 5400 0    0.0 MFlops 
                                                   [2032] DistributedData constructor 0.05615  0.0% 10800 0    0.0 MFlops 
                                             [3706] EBPoissonOp::getDataOnRefinedCoarseLayout 0.00021  0.0% 2700 0    0.0 MFlops 
                                       [1106] EBPoissonOp::residual 0.40651  0.0% 2700 1817100    4.5 MFlops 
                                          [1372] EBMultigrid::applyOp 0.21347  0.0% 2700 737100    3.5 MFlops 
                                             [1548] EBLevelBoxData::exchange 0.14537  0.0% 2700 0    0.0 MFlops 
                                                [1550] EBLevelBoxData::exchangeCPUOnly 0.14495  0.0% 2700 0    0.0 MFlops 
                                                   [1638] DistributedData::exchange 0.11798  0.0% 2700 0    0.0 MFlops 
                                                      [1829] DistributedData::communicate 0.08052  0.0% 2700 0    0.0 MFlops 
                                                         [1831] DistributedData::doLocalCopies 0.08013  0.0% 2700 0    0.0 MFlops 
                                                      [2269] BoxPattern::exchange constructor 0.03447  0.0% 2700 0    0.0 MFlops 
                                                      [3814] CommunicationMetaData constructor 0.00012  0.0% 2700 0    0.0 MFlops 
                                                   [2518] DistributedData constructor 0.02054  0.0% 2700 0    0.0 MFlops 
                                             [2236] ebforall_i 0.03615  0.0% 10800 0    0.0 MFlops 
                                                [2321] protoForall_i 0.03214  0.0% 10800 0    0.0 MFlops 
                                                   [2533] BoxData::makevars_i 0.01973  0.0% 10800 0    0.0 MFlops 
                                                      [2592] indexer_i 0.01664  0.0% 10800 0    0.0 MFlops 
                                             [2716] EBStencil::apply 0.01118  0.0% 10800 737100   65.9 MFlops 
                                                [2776] EBStencil::applyITZ 0.00952  0.0% 10800 737100   77.4 MFlops 
                                                   [2897] AggSten::apply 0.00655  0.0% 10800 737100  112.6 MFlops 
                                          [1523] BoxData::setVal 0.15614  0.0% 10800 1080000    6.9 MFlops 
                                             [1531] BoxData::operator 0.15445  0.0% 10800 1080000    7.0 MFlops 
                                                [3002] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.00446  0.0% 10800 0    0.0 MFlops 
                                          [2424] ebforall 0.02578  0.0% 10800 0    0.0 MFlops 
                                             [2466] forallInPlaceBase 0.02272  0.0% 10800 0    0.0 MFlops 
                                                [2507] protoForall 0.02104  0.0% 10800 0    0.0 MFlops 
                                                   [2679] BoxData::makevars 0.01256  0.0% 10800 0    0.0 MFlops 
                                                      [2727] indexer 0.01100  0.0% 10800 0    0.0 MFlops 
                                       [1718] EBPoissonOp::restrict 0.09716  0.0% 2700 129600    1.3 MFlops 
                                          [1732] EBPoissonOp::restrictAgglom 0.09471  0.0% 2700 129600    1.4 MFlops 
                                             [1772] EBLevelBoxData::copyTo 0.08754  0.0% 2700 0    0.0 MFlops 
                                                [1776] EBLevelBoxData::copyToCPUOnly 0.08704  0.0% 2700 0    0.0 MFlops 
                                                   [2098] DistributedData::copyTo 0.04739  0.0% 2700 0    0.0 MFlops 
                                                      [2397] DistributedData::communicate 0.02810  0.0% 2700 0    0.0 MFlops 
                                                         [2406] DistributedData::doLocalCopies 0.02770  0.0% 2700 0    0.0 MFlops 
                                                      [2595] BoxPattern::exchange constructor 0.01654  0.0% 2700 0    0.0 MFlops 
                                                      [3811] CommunicationMetaData constructor 0.00012  0.0% 2700 0    0.0 MFlops 
                                                   [2400] DistributedData constructor 0.02802  0.0% 5400 0    0.0 MFlops 
                                             [2952] EBPoissonOp::restrictOnProc 0.00522  0.0% 2700 129600   24.8 MFlops 
                                                [3107] EBStencil::apply 0.00309  0.0% 2700 129600   41.9 MFlops 
                                                   [3157] EBStencil::applyITZ 0.00272  0.0% 2700 129600   47.7 MFlops 
                                                      [3250] AggSten::apply 0.00184  0.0% 2700 129600   70.3 MFlops 
                                             [3558] EBPoissonOp::getDataOnRefinedCoarseLayout 0.00039  0.0% 2700 0    0.0 MFlops 
                                       [1843] BoxData::setVal 0.07836  0.0% 5400 540000    6.9 MFlops 
                                          [1849] BoxData::operator 0.07758  0.0% 5400 540000    7.0 MFlops 
                                             [3179] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.00236  0.0% 5400 0    0.0 MFlops 
                                    [706] EBPoissonOp::prolong 1.18289  0.0% 2700 14515200   12.3 MFlops 
                                       [709] EBPoissonOp::prolong 1.17991  0.0% 2700 14515200   12.3 MFlops 
                                          [713] EBStencil::apply 1.16837  0.0% 43200 14515200   12.4 MFlops 
                                             [822] BoxData::setVal 0.87390  0.0% 43200 6220800    7.1 MFlops 
                                                [825] BoxData::operator 0.86674  0.0% 43200 6220800    7.2 MFlops 
                                                   [2566] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.01825  0.0% 43200 0    0.0 MFlops 
                                             [1720] EBGraph::getIrregVoFs 0.09708  0.0% 43200 0    0.0 MFlops 
                                                [2299] EBGraph::getIrregCells 0.03330  0.0% 43200 0    0.0 MFlops 
                                             [2140] EBStencil::applyITZ 0.04317  0.0% 43200 2073600   48.0 MFlops 
                                                [2360] AggSten::apply 0.03092  0.0% 43200 2073600   67.1 MFlops 
                                             [2527] BoxData::operator+= 0.01993  0.0% 43200 6220800  312.1 MFlops 
                                                [2649] BoxData::operator(BoxData&) 0.01432  0.0% 43200 6220800  434.5 MFlops 
                                    [921] EBPoissonOp::residual 0.62618  0.0% 2700 5078700    8.1 MFlops 
                                       [1145] EBMultigrid::applyOp 0.36363  0.0% 2700 3523500    9.7 MFlops 
                                          [1273] EBLevelBoxData::exchange 0.27634  0.0% 2700 0    0.0 MFlops 
                                             [1275] EBLevelBoxData::exchangeCPUOnly 0.27581  0.0% 2700 0    0.0 MFlops 
                                                [1322] DistributedData::exchange 0.24864  0.0% 2700 0    0.0 MFlops 
                                                   [1378] DistributedData::communicate 0.21102  0.0% 2700 0    0.0 MFlops 
                                                      [1380] DistributedData::doLocalCopies 0.21057  0.0% 2700 0    0.0 MFlops 
                                                         [1381] DistributedData::doLocalCopiesWithCopy 0.21020  0.0% 2700 0    0.0 MFlops 
                                                   [2268] BoxPattern::exchange constructor 0.03449  0.0% 2700 0    0.0 MFlops 
                                                   [3809] CommunicationMetaData constructor 0.00012  0.0% 2700 0    0.0 MFlops 
                                                [2514] DistributedData constructor 0.02065  0.0% 2700 0    0.0 MFlops 
                                          [2071] ebforall_i 0.05067  0.0% 10800 0    0.0 MFlops 
                                             [2109] protoForall_i 0.04659  0.0% 10800 0    0.0 MFlops 
                                                [2279] BoxData::makevars_i 0.03410  0.0% 10800 0    0.0 MFlops 
                                                   [2358] indexer_i 0.03096  0.0% 10800 0    0.0 MFlops 
                                          [2611] EBStencil::apply 0.01605  0.0% 10800 3523500  219.5 MFlops 
                                             [2647] EBStencil::applyITZ 0.01435  0.0% 10800 3523500  245.6 MFlops 
                                                [2712] AggSten::apply 0.01132  0.0% 10800 3523500  311.3 MFlops 
                                       [1363] BoxData::setVal 0.21773  0.0% 10800 1555200    7.1 MFlops 
                                          [1368] BoxData::operator 0.21609  0.0% 10800 1555200    7.2 MFlops 
                                             [2997] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.00450  0.0% 10800 0    0.0 MFlops 
                                       [2290] ebforall 0.03356  0.0% 10800 0    0.0 MFlops 
                                          [2369] forallInPlaceBase 0.03049  0.0% 10800 0    0.0 MFlops 
                                             [2387] protoForall 0.02880  0.0% 10800 0    0.0 MFlops 
                                                [2522] BoxData::makevars 0.02030  0.0% 10800 0    0.0 MFlops 
                                                   [2555] indexer 0.01870  0.0% 10800 0    0.0 MFlops 
                                    [1202] BoxData::setVal 0.31225  0.0% 21600 2160000    6.9 MFlops 
                                       [1211] BoxData::operator 0.30913  0.0% 21600 2160000    7.0 MFlops 
                                          [2806] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.00890  0.0% 21600 0    0.0 MFlops 
                                    [2581] EBPoissonOp::restrict 0.01783  0.0% 2700 518400   29.1 MFlops 
                                       [2629] EBPoissonOp::restrictOnProc 0.01542  0.0% 2700 518400   33.6 MFlops 
                                          [2723] EBStencil::apply 0.01107  0.0% 10800 518400   46.8 MFlops 
                                             [2770] EBStencil::applyITZ 0.00972  0.0% 10800 518400   53.3 MFlops 
                                                [2887] AggSten::apply 0.00677  0.0% 10800 518400   76.6 MFlops 
                                 [48] EBPoissonOp::relax 94.48419  3.7% 5400 1331078400   14.1 MFlops 
                                    [71] EBPoissonOp::residual 62.12479  2.4% 172800 1154131200   18.6 MFlops 
                                       [133] EBMultigrid::applyOp 34.02569  1.3% 172800 977184000   28.7 MFlops 
                                          [157] EBLevelBoxData::exchange 24.89689  1.0% 172800 0    0.0 MFlops 
                                             [160] EBLevelBoxData::exchangeCPUOnly 24.86957  1.0% 172800 0    0.0 MFlops 
                                                [174] DistributedData::exchange 23.10421  0.9% 172800 0    0.0 MFlops 
                                                   [177] DistributedData::communicate 20.68462  0.8% 172800 0    0.0 MFlops 
                                                      [179] DistributedData::doLocalCopies 20.65967  0.8% 172800 0    0.0 MFlops 
                                                         [181] DistributedData::doLocalCopiesWithCopy 20.63644  0.8% 172800 0    0.0 MFlops 
                                                   [543] BoxPattern::exchange constructor 2.22609  0.1% 172800 0    0.0 MFlops 
                                                   [2850] CommunicationMetaData constructor 0.00793  0.0% 172800 0    0.0 MFlops 
                                                [671] DistributedData constructor 1.35199  0.1% 172800 0    0.0 MFlops 
                                          [373] ebforall_i 5.57307  0.2% 691200 0    0.0 MFlops 
                                             [379] protoForall_i 5.33016  0.2% 691200 0    0.0 MFlops 
                                                [404] BoxData::makevars_i 4.53002  0.2% 691200 0    0.0 MFlops 
                                                   [410] indexer_i 4.32812  0.2% 691200 0    0.0 MFlops 
                                          [533] EBStencil::apply 2.26068  0.1% 691200 977184000  432.3 MFlops 
                                             [562] EBStencil::applyITZ 2.15473  0.1% 691200 977184000  453.5 MFlops 
                                                [588] AggSten::apply 1.95825  0.1% 691200 977184000  499.0 MFlops 
                                       [166] BoxData::setVal 23.95814  0.9% 691200 176947200    7.4 MFlops 
                                          [170] BoxData::operator 23.85369  0.9% 691200 176947200    7.4 MFlops 
                                             [1269] slice(BoxData<T,C,MEM,D,E>&, int, int, int) 0.27675  0.0% 691200 0    0.0 MFlops 
                                       [448] ebforall 3.43338  0.1% 691200 0    0.0 MFlops 
                                          [460] forallInPlaceBase 3.25143  0.1% 691200 0    0.0 MFlops 
                                             [464] protoForall 3.14192  0.1% 691200 0    0.0 MFlops 
                                                [486] BoxData::makevars 2.59856  0.1% 691200 0    0.0 MFlops 
