-----------
Timer report 0 (861 timers)
--------------
[0] root 12.36497 100.0% 1 57056588    4.6 MFlops 
   [1] LevelGeometryService::LevelGeometryService 6.91072 55.9% 1 0    0.0 MFlops 
      [2] LevelGeometryService::defineFinestLevel 6.91052 55.9% 1 0    0.0 MFlops 
         [3] LevelGeometryService::fillGraph 6.85144 55.4% 16 0    0.0 MFlops 
            [4] boxiterator loop 6.27048 50.7% 16 0    0.0 MFlops 
               [5] ifdata constructor 2 5.55589 44.9% 23104 0    0.0 MFlops 
                  [6] ifdata::setNormalDerivatives 5.30803 42.9% 23104 0    0.0 MFlops 
                                    [122] copy_irr_data 0.06085  0.5% 5600 0    0.0 MFlops 
                                       [123] HostIrregData::copy 0.06025  0.5% 5600 0    0.0 MFlops 
                           [773] makeItSoEnd 0.00000  0.0% 56 0    0.0 MFlops 
                           [788] makeItSoBegin 0.00000  0.0% 56 0    0.0 MFlops 
                        [137] EBGraph::getIrregVoFs 0.04865  0.4% 896 0    0.0 MFlops 
                           [218] EBGraph::getIrregCells 0.01847  0.1% 896 0    0.0 MFlops 
                        [470] ~LayoutData 0.00115  0.0% 56 0    0.0 MFlops 
                        [478] HostBoxData::define(Box) (memory allocation) 0.00102  0.0% 896 0    0.0 MFlops 
                        [479] EBLevelBoxData::copyToHost 0.00100  0.0% 56 0    0.0 MFlops 
                        [516] EBLevelBoxData::copyToDevice 0.00069  0.0% 56 0    0.0 MFlops 
                        [733] ~Copier 0.00002  0.0% 56 0    0.0 MFlops 
                        [791] ~BoxLayoutData 0.00000  0.0% 56 0    0.0 MFlops 
                        [796] ~LevelData 0.00000  0.0% 56 0    0.0 MFlops 
                     [31] ebforall 0.43180  3.5% 1792 0    0.0 MFlops 
                        [38] irreg_forall 0.31487  2.5% 1792 0    0.0 MFlops 
                        [80] regular_forall 0.11647  0.9% 1792 0    0.0 MFlops 
                           [81] forallInPlaceBase 0.11613  0.9% 1792 0    0.0 MFlops 
                     [33] EBStencil::apply 0.38130  3.1% 1792 33741120   88.5 MFlops 
                        [34] EBStencil::applyITZ 0.38107  3.1% 1792 33741120   88.5 MFlops 
                           [37] Stencil::apply 0.36652  3.0% 5376 27912192   76.2 MFlops 
                           [240] AggSten::apply 0.01296  0.1% 1344 5828928  449.7 MFlops 
                  [41] ebforall 0.28595  2.3% 1792 0    0.0 MFlops 
                     [45] irreg_forall 0.21316  1.7% 1792 0    0.0 MFlops 
                     [107] regular_forall 0.07237  0.6% 1792 0    0.0 MFlops 
                        [108] forallInPlaceBase 0.07209  0.6% 1792 0    0.0 MFlops 
               [19] ebforall gsrb bit 0.57705  4.7% 112 0    0.0 MFlops 
                  [20] ebforall_i 0.57519  4.7% 1792 0    0.0 MFlops 
                     [32] irreg_forall_i 0.41403  3.3% 1792 0    0.0 MFlops 
                     [60] regular_forall_i 0.16071  1.3% 1792 0    0.0 MFlops 
            [11] sgmglevel::vcycle 1.73219 14.0% 7 16472372    9.5 MFlops 
               [14] EBMultigridLevel::relax 0.83013  6.7% 14 9936192   12.0 MFlops 
                  [17] EBMultigridLevel::residual 0.63395  5.1% 112 9936192   15.7 MFlops 
                     [21] EBMultigrid::applyOp 0.53574  4.3% 112 9936192   18.5 MFlops 
                        [44] EBLevelBoxData::exchange 0.21332  1.7% 56 0    0.0 MFlops 
                           [51] exchange 0.18209  1.5% 56 0    0.0 MFlops 
                              [52] makeItSoLocalCopy 0.18207  1.5% 56 0    0.0 MFlops 
                                 [53] local copying 0.18206  1.5% 56 0    0.0 MFlops 
                                    [54] EBHostData::copy 0.18010  1.5% 5600 0    0.0 MFlops 
                                       [63] copy_reg_data 0.15378  1.2% 5600 0    0.0 MFlops 
                                          [64] HostBoxData::copy 0.15321  1.2% 5600 0    0.0 MFlops 
                                       [182] copy_irr_data 0.02538  0.2% 5600 0    0.0 MFlops 
                                          [185] HostIrregData::copy 0.02481  0.2% 5600 0    0.0 MFlops 
                              [778] makeItSoEnd 0.00000  0.0% 56 0    0.0 MFlops 
                              [787] makeItSoBegin 0.00000  0.0% 56 0    0.0 MFlops 
                           [173] EBGraph::getIrregVoFs 0.02728  0.2% 896 0    0.0 MFlops 
                              [261] EBGraph::getIrregCells 0.01031  0.1% 896 0    0.0 MFlops 
                           [528] HostBoxData::define(Box) (memory allocation) 0.00062  0.0% 896 0    0.0 MFlops 
                           [541] ~LayoutData 0.00051  0.0% 56 0    0.0 MFlops 
                           [572] EBLevelBoxData::copyToDevice 0.00035  0.0% 56 0    0.0 MFlops 
                           [583] EBLevelBoxData::copyToHost 0.00032  0.0% 56 0    0.0 MFlops 
