-----------
Timer report 0 (4883 timers)
--------------
[0] root 12173.14041 100.0% 1 385976718688   31.7 MFlops 
   [1] EBINS::run 12155.21628 99.9% 1 385975336288   31.8 MFlops 
      [2] EBINS::advanceVelocityAndPressure 11866.44636 97.5% 100 379571617714   32.0 MFlops 
         [3] BCGAdvect::hybridDivergence 4581.15857 37.6% 100 109480816800   23.9 MFlops 
            [4] BCGAdvect::getMACVectorVelocity 4574.60794 37.6% 100 109302742800   23.9 MFlops 
               [7] EBMACProjector::project 4540.52750 37.3% 100 108331545400   23.9 MFlops 
                  [8] EBMultigrid::solve 4537.64176 37.3% 100 108238449800   23.9 MFlops 
                     [10] sgmg::vcycle 4441.65775 36.5% 2700 106943268600   24.1 MFlops 
                        [11] sgmglevel::vcycle 4441.65631 36.5% 2700 106943268600   24.1 MFlops 
                           [18] EBPoissonOp::relax 2350.74110 19.3% 5400 75665491200   32.2 MFlops 
                              [22] EBPoissonOp::residual 1487.12664 12.2% 172800 71241811200   47.9 MFlops 
                                 [31] EBMultigrid::applyOp 764.61291  6.3% 172800 66818131200   87.4 MFlops 
                                    [50] EBLevelBoxData::exchange 473.23549  3.9% 172800 0    0.0 MFlops 
                                       [51] EBLevelBoxData::exchangeCPUOnly 473.19690  3.9% 172800 0    0.0 MFlops 
                                          [54] DistributedData::exchange 465.38298  3.8% 172800 0    0.0 MFlops 
                                             [56] DistributedData::communicate 445.86149  3.7% 172800 0    0.0 MFlops 
                                                [57] DistributedData::doLocalCopies 445.83353  3.7% 172800 0    0.0 MFlops 
                                                   [58] DistributedData::doLocalCopiesWithCopy 445.80504  3.7% 172800 0    0.0 MFlops 
                                                      [62] HostBoxData::copy 436.32364  3.6% 14515200 0    0.0 MFlops 
                                                      [872] HostIrregData::copy 3.79983  0.0% 14515200 0    0.0 MFlops 
                                             [419] BoxPattern::exchange constructor 19.07584  0.2% 172800 0    0.0 MFlops 
                                             [3436] CommunicationMetaData constructor 0.00734  0.0% 172800 0    0.0 MFlops 
                                          [688] DistributedData constructor 6.69864  0.1% 172800 0    0.0 MFlops 
                                    [131] ebforall_i 161.01658  1.3% 2764800 0    0.0 MFlops 
                                       [133] protoForall_i 159.81003  1.3% 2764800 0    0.0 MFlops 
                                          [138] BoxData::makevars_i 156.14062  1.3% 2764800 0    0.0 MFlops 
                                             [141] indexer_i 155.21482  1.3% 2764800 0    0.0 MFlops 
                                    [167] EBStencil::apply 123.77392  1.0% 2764800 66818131200  539.8 MFlops 
                                       [171] EBStencil::applyITZ 123.26602  1.0% 2764800 66818131200  542.1 MFlops 
                                          [174] AggSten::apply 122.21210  1.0% 2764800 66818131200  546.7 MFlops 
                                 [37] BoxData::setVal 635.70270  5.2% 2764800 4423680000    7.0 MFlops 
                                    [39] BoxData::operator 635.22313  5.2% 2764800 4423680000    7.0 MFlops 
